Index,Time,ax,ay,(((drivers.opticalFlow).processedMessage).payload).distance,(((drivers.opticalFlow).processedMessage).payload).optical_flow_vel_x,(((drivers.opticalFlow).processedMessage).payload).optical_flow_vel_y,(initPos).x,(initPos).y
231,2.310014,0.00987224653,0.0183332823,71,0,0,-0.1007284,0.392181218
232,2.319999,0.00987224653,0.00396807259,69,0,0,-0.1007284,0.392181218
233,2.330018,-0.00688716583,-0.00082033081,69,0,0,-0.1007284,0.392181218
234,2.340010,0.0218432546,-0.0271565504,69,0,0,-0.1007284,0.392181218
235,2.350018,0.0170548521,0.00636227429,69,0,0,-0.1007284,0.392181218
236,2.360010,0.0122664478,-0.00321453251,69,0,0,-0.1007284,0.392181218
237,2.370013,-0.0284349807,0.00875647552,69,0,0,-0.1007284,0.392181218
238,2.380020,0.0218432546,0.0135448789,68,0,0,-0.1007284,0.392181218
239,2.389994,-0.00688716583,-0.0439159609,68,0,0,-0.1007284,0.392181218
240,2.400010,0.0170548521,-0.0487043634,69,20,0,-0.100673206,0.392181218
241,2.409991,-0.0499827974,0.0207274836,69,20,0,-0.100535221,0.392181218
242,2.420003,-0.0116755692,-0.0127913393,68,0,0,-0.100452431,0.392181218
243,2.430043,0.0457852706,-0.0127913393,68,0,0,-0.100452431,0.392181218
244,2.440005,-0.0380117893,-0.00800293591,67,-20,0,-0.10050603,0.392181218
245,2.450023,0.00987224653,-0.00082033081,67,-20,0,-0.100640029,0.392181218
246,2.459977,-0.0188581739,-0.0223681461,67,0,0,-0.100720428,0.392181218
247,2.470015,-0.0404059887,-0.0151855415,67,0,0,-0.100720428,0.392181218
248,2.479992,-0.0140697705,0.0159390811,68,0,-20,-0.100720428,0.392126799
249,2.490011,-0.00449296413,0.00636227429,68,0,-20,-0.100720428,0.391990751
250,2.500014,-0.00209876243,-0.00800293591,68,20,0,-0.100666024,0.391909122
251,2.510018,-0.00209876243,0.0326984935,68,20,0,-0.100530013,0.391909122
252,2.520016,-0.0380117893,-0.046310164,68,40,0,-0.100339614,0.391909122
253,2.530009,-0.00928136706,0.00396807259,68,40,0,-0.100122027,0.391909122
254,2.539994,-0.00209876243,-0.00800293591,68,0,-20,-0.0999044403,0.391881913
255,2.550017,0.00268964097,-0.00560873421,68,0,-20,-0.0999044403,0.391745865
256,2.560016,0.00268964097,-0.00082033081,68,0,0,-0.0999044403,0.391637027
257,2.569994,-0.0212523751,0.0446695015,68,0,0,-0.0999044403,0.391637027
258,2.579994,0.000295439298,-0.00560873421,68,0,0,-0.0999044403,0.391637027
259,2.589998,0.0290258601,0.0135448789,68,0,0,-0.0999044403,0.391637027
260,2.600014,-0.0212523751,-0.0127913393,67,20,0,-0.0998776406,0.391637027
261,2.610010,-0.00928136706,0.0374868959,67,20,0,-0.0997436419,0.391637027
262,2.620018,0.0146606499,-0.00800293591,67,-20,0,-0.0996632427,0.391637027
263,2.630018,-0.0140697705,-0.0223681461,67,-20,0,-0.0997972414,0.391637027
264,2.639993,0.00508384267,-0.0367333554,68,0,0,-0.0999044403,0.391637027
265,2.649971,0.00508384267,0.0111506777,68,0,0,-0.0999044403,0.391637027
266,2.660020,-0.00209876243,-0.0223681461,69,0,0,-0.0999044403,0.391637027
267,2.670012,0.0362084657,0.0207274836,69,0,0,-0.0999044403,0.391637027
268,2.680018,0.0409968682,0.0135448789,69,-20,0,-0.0999320373,0.391637027
269,2.689991,0.0409968682,-0.0151855415,69,-20,0,-0.100070022,0.391637027
270,2.700015,0.0146606499,-0.0223681461,67,0,20,-0.10018041,0.39166382
271,2.710014,0.0266316589,0.00396807259,67,0,20,-0.10018041,0.391797781
272,2.719989,-0.0308291819,0.0279100891,67,0,0,-0.10018041,0.39190495
273,2.730018,-0.00449296413,-0.00800293591,67,0,0,-0.10018041,0.39190495
274,2.739997,0.000295439298,0.0135448789,67,0,0,-0.10018041,0.39190495
275,2.750010,-0.0212523751,0.00875647552,67,0,0,-0.10018041,0.39190495
276,2.759997,-0.0260407794,0.00875647552,68,0,0,-0.10018041,0.39190495
277,2.770018,0.0386026651,0.00396807259,68,0,0,-0.10018041,0.39190495
278,2.780014,0.0122664478,-0.0415217616,67,0,0,-0.10018041,0.39190495
279,2.789999,-0.0284349807,-0.0199739449,67,0,0,-0.10018041,0.39190495
280,2.799976,-0.00449296413,-0.0127913393,68,0,0,-0.10018041,0.39190495
281,2.810011,0.0362084657,-0.0175797436,68,0,0,-0.10018041,0.39190495
282,2.819996,0.0338142626,-0.00082033081,67,0,0,-0.10018041,0.39190495
283,2.829992,-0.0212523751,0.00875647552,67,0,0,-0.10018041,0.39190495
284,2.840012,0.0362084657,-0.00321453251,68,0,0,-0.10018041,0.39190495
285,2.849997,0.0386026651,0.00157387089,68,0,0,-0.10018041,0.39190495
286,2.860000,0.0170548521,0.0207274836,68,0,20,-0.10018041,0.39193216
287,2.870017,0.0122664478,0.0255158879,68,0,20,-0.10018041,0.392068207
288,2.880012,-0.0284349807,-0.0199739449,68,-20,0,-0.100207612,0.392177045
289,2.889990,0.0386026651,0.0135448789,68,-20,0,-0.100343622,0.392177045
290,2.900017,0.00987224653,-0.0103971381,69,0,0,-0.100452431,0.392177045
291,2.910019,-0.00449296413,-0.0223681461,69,0,0,-0.100452431,0.392177045
292,2.919994,0.00268964097,0.0231216867,67,40,0,-0.100398831,0.392177045
293,2.930012,0.0218432546,-0.0295507517,67,40,0,-0.100130834,0.392177045
294,2.940010,0.00508384267,0.0686115175,68,0,0,-0.0999164358,0.392177045
295,2.950015,-0.00688716583,0.00636227429,68,0,0,-0.0999164358,0.392177045
296,2.959999,0.0218432546,-0.00321453251,67,20,0,-0.099889636,0.392177045
297,2.969990,0.00987224653,0.0231216867,67,20,0,-0.0997556373,0.392177045
298,2.980017,-0.0188581739,0.00636227429,69,-20,0,-0.0996760353,0.392177045
299,2.989996,0.0218432546,0.0590347126,69,-20,0,-0.0998140201,0.392177045
300,2.999992,-0.0188581739,0.00875647552,68,0,0,-0.0999244079,0.392177045
301,3.010011,0.0314200632,0.039881099,68,0,0,-0.0999244079,0.392177045
302,3.019997,0.0362084657,0.0374868959,66,0,0,-0.0999244079,0.392177045
303,3.030000,0.0290258601,0.00875647552,66,0,0,-0.0999244079,0.392177045
304,3.040016,0.0170548521,0.00157387089,67,0,0,-0.0999244079,0.392177045
305,3.049992,-0.0188581739,0.00396807259,67,0,0,-0.0999244079,0.392177045
306,3.059999,-0.0140697705,0.049457904,68,-40,0,-0.0999788046,0.392177045
307,3.069997,-0.0188581739,-0.0175797436,68,-40,0,-0.100250788,0.392177045
308,3.079990,-0.00928136706,-0.00560873421,68,0,-40,-0.100468375,0.392122656
309,3.090017,0.0409968682,-0.0151855415,68,0,-40,-0.100468375,0.39185071
310,3.099990,0.00747804437,0.0135448789,68,0,0,-0.100468375,0.391633153
311,3.109995,-0.0212523751,-0.034339156,68,0,0,-0.100468375,0.391633153
312,3.120010,0.0314200632,0.0111506777,68,0,0,-0.100468375,0.391633153
313,3.130014,-0.0428001918,-0.00082033081,68,0,0,-0.100468375,0.391633153
314,3.139990,0.0242374558,-0.00082033081,68,0,0,-0.100468375,0.391633153
315,3.150012,-0.00449296413,0.0111506777,68,0,0,-0.100468375,0.391633153
316,3.160015,0.00508384267,0.0159390811,68,0,0,-0.100468375,0.391633153
317,3.170000,-0.00688716583,-0.0223681461,68,0,0,-0.100468375,0.391633153
318,3.179990,0.000295439298,0.0111506777,70,0,0,-0.100468375,0.391633153
319,3.189996,-0.0164639726,-0.00560873421,70,0,0,-0.100468375,0.391633153
